"BehaviorSpace results (NetLogo 5.3)"
"war of attrition.nlogo"
"experiment"
"02/21/2016 20:25:59:501 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","V","x1","x2","dynamic?","[step]","[u] of player 0","[u] of player 1"
"584","50","6","84","false","0","-6","44"
"588","50","6","88","false","0","-6","44"
"555","50","6","55","false","0","-6","44"
"589","50","6","89","false","0","-6","44"
"590","50","6","90","false","0","-6","44"
"591","50","6","91","false","0","-6","44"
"592","50","6","92","false","0","-6","44"
"593","50","6","93","false","0","-6","44"
"594","50","6","94","false","0","-6","44"
"597","50","6","97","false","0","-6","44"
"596","50","6","96","false","0","-6","44"
"598","50","6","98","false","0","-6","44"
"601","50","7","1","false","0","49","-1"
"600","50","6","100","false","0","-6","44"
"599","50","6","99","false","0","-6","44"
"602","50","7","2","false","0","48","-2"
"603","50","7","3","false","0","47","-3"
"604","50","7","4","false","0","46","-4"
"605","50","7","5","false","0","45","-5"
"606","50","7","6","false","0","44","-6"
"607","50","7","7","false","0","18","18"
"608","50","7","8","false","0","-7","43"
"609","50","7","9","false","0","-7","43"
"610","50","7","10","false","0","-7","43"
"611","50","7","11","false","0","-7","43"
"612","50","7","12","false","0","-7","43"
"595","50","6","95","false","0","-6","44"
"613","50","7","13","false","0","-7","43"
"614","50","7","14","false","0","-7","43"
"615","50","7","15","false","0","-7","43"
"616","50","7","16","false","0","-7","43"
"617","50","7","17","false","0","-7","43"
"618","50","7","18","false","0","-7","43"
"619","50","7","19","false","0","-7","43"
"621","50","7","21","false","0","-7","43"
"622","50","7","22","false","0","-7","43"
"623","50","7","23","false","0","-7","43"
"624","50","7","24","false","0","-7","43"
"625","50","7","25","false","0","-7","43"
"626","50","7","26","false","0","-7","43"
"627","50","7","27","false","0","-7","43"
"630","50","7","30","false","0","-7","43"
"629","50","7","29","false","0","-7","43"
"628","50","7","28","false","0","-7","43"
"632","50","7","32","false","0","-7","43"
"633","50","7","33","false","0","-7","43"
"631","50","7","31","false","0","-7","43"
"634","50","7","34","false","0","-7","43"
"635","50","7","35","false","0","-7","43"
"636","50","7","36","false","0","-7","43"
"637","50","7","37","false","0","-7","43"
"639","50","7","39","false","0","-7","43"
"640","50","7","40","false","0","-7","43"
"638","50","7","38","false","0","-7","43"
"641","50","7","41","false","0","-7","43"
"642","50","7","42","false","0","-7","43"
"643","50","7","43","false","0","-7","43"
"644","50","7","44","false","0","-7","43"
"646","50","7","46","false","0","-7","43"
"645","50","7","45","false","0","-7","43"
"647","50","7","47","false","0","-7","43"
"648","50","7","48","false","0","-7","43"
"651","50","7","51","false","0","-7","43"
"649","50","7","49","false","0","-7","43"
"650","50","7","50","false","0","-7","43"
"654","50","7","54","false","0","-7","43"
"652","50","7","52","false","0","-7","43"
"655","50","7","55","false","0","-7","43"
"653","50","7","53","false","0","-7","43"
